domaine,requetes_classees,position_moyenne,trafic_estime,positions
www.facebook.com,9,12.1,2163.0,"{""voir ma moyenne en ligne côte d'ivoire"": [5], ""voir ma moyenne en ligne"": [2], ""voir bulletin scolaire en ligne 2026"": [7], ""mon bulletin scolaire en ligne"": [7], ""drena"": [8], ""consulter bulletin scolaire"": [7], ""carte scolaire"": [22], ""système lmd"": [13], ""conseil de classe"": [38]}"
www.education.gouv.ci,7,6.3,675.9,"{""voir ma moyenne en ligne côte d'ivoire"": [6], ""voir ma moyenne en ligne"": [12], ""voir bulletin scolaire en ligne 2026"": [3], ""mon bulletin scolaire en ligne"": [4], ""drena"": [1], ""consulter bulletin scolaire"": [4], ""carte scolaire"": [14]}"
mena-desps.org,6,3.3,1464.3,"{""voir ma moyenne en ligne côte d'ivoire"": [3], ""voir ma moyenne en ligne"": [4], ""voir bulletin scolaire en ligne 2026"": [2], ""mon bulletin scolaire en ligne"": [2], ""consulter bulletin scolaire"": [3], ""carte scolaire"": [6]}"
agfne.sigfne.net,5,1,5259.2,"{""voir ma moyenne en ligne côte d'ivoire"": [1], ""voir ma moyenne en ligne"": [1], ""voir bulletin scolaire en ligne 2026"": [1], ""mon bulletin scolaire en ligne"": [1], ""consulter bulletin scolaire"": [1]}"
bourses.diplomatie.gouv.ci,5,6.8,588.7,"{""voir ma moyenne en ligne côte d'ivoire"": [4], ""voir ma moyenne en ligne"": [7], ""voir bulletin scolaire en ligne 2026"": [4], ""mon bulletin scolaire en ligne"": [10], ""consulter bulletin scolaire"": [9]}"
www.youtube.com,5,18,11.1,"{""syscohada"": [12], ""drena"": [15], ""carte scolaire"": [13], ""système lmd"": [29], ""conseil de classe"": [21]}"
bourses.mendob.ci,4,5.5,1646.6,"{""voir ma moyenne en ligne côte d'ivoire"": [2], ""voir ma moyenne en ligne"": [3], ""voir bulletin scolaire en ligne 2026"": [5], ""mon bulletin scolaire en ligne"": [12]}"
play.google.com,4,14,225.1,"{""voir ma moyenne en ligne"": [9], ""syscohada"": [4], ""mon bulletin scolaire en ligne"": [14], ""carte scolaire"": [29]}"
cartescolaire-men.ci,4,16.8,132.1,"{""voir ma moyenne en ligne côte d'ivoire"": [18], ""voir ma moyenne en ligne"": [24], ""mon bulletin scolaire en ligne"": [24], ""carte scolaire"": [1]}"
www.men-delc.org,4,26.8,85.6,"{""voir ma moyenne en ligne"": [30], ""mon bulletin scolaire en ligne"": [36], ""drena"": [4], ""carte scolaire"": [37]}"
fr.wikipedia.org,3,2.7,57.0,"{""carte scolaire"": [3], ""système lmd"": [1], ""conseil de classe"": [4]}"
www.education.gouv.fr,3,6,55.9,"{""mon bulletin scolaire en ligne"": [5], ""carte scolaire"": [4], ""conseil de classe"": [9]}"
www.ecolemedia.ci,4,30.5,59.1,"{""voir ma moyenne en ligne"": [27], ""voir bulletin scolaire en ligne 2026"": [8], ""mon bulletin scolaire en ligne"": [37], ""carte scolaire"": [50]}"
myscol.com,3,7.7,20.6,"{""mon bulletin scolaire en ligne"": [11], ""consulter bulletin scolaire"": [8], ""système lmd"": [4]}"
fr.scribd.com,3,9,32.5,"{""voir bulletin scolaire en ligne 2026"": [9], ""drena"": [13], ""conseil de classe"": [5]}"
docs.index-education.com,3,11.3,97.5,"{""voir ma moyenne en ligne côte d'ivoire"": [12], ""mon bulletin scolaire en ligne"": [20], ""consulter bulletin scolaire"": [2]}"
www.scribd.com,3,12,13.8,"{""syscohada"": [8], ""carte scolaire"": [20], ""système lmd"": [8]}"
www.servicepublic.gouv.ci,3,21.7,32.8,"{""voir ma moyenne en ligne côte d'ivoire"": [20], ""voir ma moyenne en ligne"": [23], ""mon bulletin scolaire en ligne"": [22]}"
shs.cairn.info,4,41.2,3.2,"{""syscohada"": [87], ""carte scolaire"": [15], ""système lmd"": [45], ""conseil de classe"": [18]}"
mendob-ci.org,3,23.7,100.8,"{""voir ma moyenne en ligne côte d'ivoire"": [8], ""voir ma moyenne en ligne"": [16], ""mon bulletin scolaire en ligne"": [47]}"
ablanian.com,3,23.7,76.7,"{""voir ma moyenne en ligne côte d'ivoire"": [14], ""voir ma moyenne en ligne"": [15], ""mon bulletin scolaire en ligne"": [42]}"
news.abidjan.net,3,25.3,3.5,"{""drena"": [21], ""carte scolaire"": [16], ""système lmd"": [39]}"
membres.ecolemedia.net,3,30.7,34.4,"{""voir ma moyenne en ligne côte d'ivoire"": [26], ""voir ma moyenne en ligne"": [21], ""mon bulletin scolaire en ligne"": [45]}"
aide-afrique.com,4,49.2,32.6,"{""voir ma moyenne en ligne côte d'ivoire"": [30], ""voir ma moyenne en ligne"": [41], ""mon bulletin scolaire en ligne"": [79], ""carte scolaire"": [47]}"
www.quebec.ca,2,4.5,86.3,"{""mon bulletin scolaire en ligne"": [3], ""consulter bulletin scolaire"": [6]}"
www.service-public.gouv.fr,2,4.5,35.5,"{""mon bulletin scolaire en ligne"": [8], ""conseil de classe"": [1]}"
www.persee.fr,2,9.5,17.7,"{""consulter bulletin scolaire"": [14], ""carte scolaire"": [5]}"
drenetaboisso.sch-ci.org,2,17,4.8,"{""drena"": [23], ""carte scolaire"": [11]}"
www.expertpro.ci,2,18,43.0,"{""voir ma moyenne en ligne côte d'ivoire"": [17], ""voir ma moyenne en ligne"": [19]}"
www.dailymotion.com,2,24,0.4,"{""système lmd"": [32], ""conseil de classe"": [16]}"
www.drenabidjan4.net,2,25,30.7,"{""voir ma moyenne en ligne côte d'ivoire"": [22], ""voir ma moyenne en ligne"": [28]}"
www.brvm.org,2,27,4.8,"{""syscohada"": [42], ""consulter bulletin scolaire"": [12]}"
www.schoolexpert.ci,2,27.5,27.1,"{""voir ma moyenne en ligne"": [34], ""mon bulletin scolaire en ligne"": [21]}"
www.men-deco.org,2,33,6.6,"{""voir ma moyenne en ligne côte d'ivoire"": [23], ""mon bulletin scolaire en ligne"": [43]}"
www.koaci.com,2,38,6.9,"{""voir ma moyenne en ligne côte d'ivoire"": [27], ""drena"": [49]}"
www.affairage.ci,2,47.5,26.9,"{""voir ma moyenne en ligne"": [32], ""mon bulletin scolaire en ligne"": [63]}"
www.instagram.com,2,48.5,2.5,"{""drena"": [43], ""carte scolaire"": [54]}"
www.ohada.com,1,1,179.4,"{""syscohada"": [1]}"
plan-comptable-ohada.com,1,2,95.6,"{""syscohada"": [2]}"
drenaabidjan3.ci,1,2,142.6,"{""drena"": [2]}"
