requete,cote_divoire,benin,senegal,cpc_usd_ci,concurrence_ci
drena,880,10,10,,LOW
syscohada,590,70,320,1.13,LOW
carte scolaire,320,30,30,,LOW
calcul de moyenne,110,10,30,,LOW
système lmd,70,40,70,,LOW
conseil de classe,70,10,50,,LOW
bulletin de notes,20,10,50,,LOW
appréciation bulletin,20,10,20,,LOW
mena côte d'ivoire,20,10,10,,LOW
logiciel de gestion scolaire,10,10,10,0.69,MEDIUM
logiciel gestion scolaire,10,10,10,,LOW
application gestion scolaire,10,10,10,,
gestion scolaire,10,10,10,0.96,LOW
logiciel scolaire,10,10,10,,
plateforme de gestion scolaire,10,10,10,,LOW
logiciel gestion établissement scolaire,10,,,,
modèle bulletin de notes,10,10,10,,
délibération jury,10,0,10,,
bts côte d'ivoire,10,0,10,,LOW
gestion des absences,10,10,10,,LOW
cahier de texte numérique,10,0,10,,LOW
logiciel de gestion d'école,,,,,
logiciel gestion école gratuit,,,,,
logiciel de gestion universitaire,,,,,
calcul moyenne bulletin,,,,,
lmd uemoa,,,,,
ue ecue,,,,,
crédits lmd,,,,,
compensation lmd,,,,,
ouvrir une école privée en côte d'ivoire,,,,,
agrément école privée,,,,,
élèves affectés,,,,,
subvention élèves affectés,,,,,
frais de scolarité,,,,,
paiement frais de scolarité,,,,,
certificat de scolarité,,,,,
modèle certificat de scolarité,,,,,
emploi du temps école,,,,,
mobile money école,,,,,
logiciel comptabilité école,,,,,
